Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDT09,OUT018,1709.6079
DRH03,OUT027,1687.5962
FDA36,OUT018,2357.05
NCF31,OUT017,3037.8062
FDG14,OUT049,2422.2327
FDG28,OUT027,5883.415
FDU14,OUT049,4197.9507
FDY47,OUT019,52.911957
FDI56,OUT049,1440.9136
DRD01,OUT013,869.5893
FDM22,OUT046,854.1079
FDH33,OUT013,585.7986
DRZ24,OUT013,2426.883
NCQ38,OUT046,1554.5883
FDO16,OUT027,1527.4146
FDU07,OUT027,3667.84
NCB07,OUT013,2880.2664
FDU48,OUT045,1939.6035
NCM43,OUT045,2476.8083
FDR31,OUT010,1730.1871
DRK49,OUT018,350.70535
NCI30,OUT010,3687.805
DRD60,OUT017,4086.1707
NCG19,OUT046,3614.547
FDH12,OUT035,1639.0276
FDM32,OUT035,1379.9685
FDM27,OUT035,2381.152
NCU53,OUT027,2187.5544
NCQ18,OUT046,1596.8113
FDS10,OUT013,2720.3184
FDB33,OUT027,2443.261
FDI12,OUT013,1329.2057
NCW42,OUT013,3256.9666
NCC06,OUT018,1108.063
FDW02,OUT017,2632.646
NCD43,OUT017,1480.4581
FDM57,OUT018,775.4671
FDA58,OUT017,3612.0833
FDK56,OUT046,1223.5155
FDP52,OUT045,3504.022
FDW20,OUT018,1620.7622
FDS52,OUT049,2081.6912
NCT29,OUT018,1067.9021
NCL54,OUT013,2786.5676
FDC05,OUT045,2859.6917
FDF34,OUT035,2763.7854
FDP03,OUT027,1164.1097
FDD32,OUT010,752.212
FDZ10,OUT045,1936.2211
FDZ40,OUT035,999.91693
FDD51,OUT018,325.39374
NCY30,OUT019,387.14227
FDP58,OUT017,4586.728
FDV49,OUT017,4133.0454
FDY24,OUT019,148.17276
NCO55,OUT017,2092.504
FDR13,OUT017,2410.5845
FDS51,OUT017,913.3202
FDP26,OUT045,1511.9244
NCB54,OUT027,2268.4568
FDF32,OUT017,2992.8835
FDN31,OUT018,3421.9395
DRM48,OUT017,619.4687
FDN20,OUT049,2598.2734
DRL01,OUT046,3670.3037
FDV56,OUT049,2097.1956
DRH13,OUT027,1884.9032
FDA03,OUT017,2301.4363
FDF47,OUT027,3275.813
FDX32,OUT046,2313.2007
FDX57,OUT049,1500.6064
NCA30,OUT045,2884.3386
FDO49,OUT013,635.0256
FDL04,OUT019,243.94647
DRM48,OUT035,626.4919
FDR16,OUT013,3287.9058
NCC19,OUT018,1619.2692
NCE42,OUT045,3144.965
FDY24,OUT017,1056.8356
FDH19,OUT049,2703.0825
FDJ46,OUT013,3739.1475
FDN45,OUT010,1837.7458
FDY08,OUT035,1891.8357
FDZ37,OUT035,1287.2257
NCT30,OUT045,748.44275
DRY23,OUT018,450.30283
NCZ30,OUT018,1068.7351
FDC44,OUT018,1458.0977
FDB45,OUT035,1570.9148
FDY04,OUT013,2726.3357
FDM27,OUT046,2671.816
FDZ43,OUT017,4993.543
FDT39,OUT019,336.23706
NCC06,OUT019,399.1536
FDL15,OUT027,2306.0789
FDL57,OUT017,3756.676
FDU08,OUT046,1575.1798
FDK40,OUT017,3713.3892
FDQ12,OUT010,2072.6973
FDS48,OUT017,2318.5977
FDP09,OUT045,3305.9927
FDW21,OUT049,2016.9141
FDY25,OUT035,4082.2097
DRE13,OUT017,1370.6504
FDV43,OUT019,131.3565
FDD22,OUT045,1536.4708
FDM46,OUT019,463.58722
NCO30,OUT010,2472.1848
FDM25,OUT046,893.5983
NCN41,OUT049,2520.2712
FDU24,OUT045,1321.9031
FDZ50,OUT046,2890.9714
FDP45,OUT013,4076.468
NCM54,OUT045,1880.1552
FDW10,OUT019,376.03342
FDP20,OUT017,1915.3446
FDK32,OUT046,2361.3281
FDN52,OUT049,1267.6002
FDM58,OUT045,1506.5056
FDZ46,OUT027,1955.9147
NCA18,OUT018,1059.2081
FDD35,OUT046,2538.8403
NCK31,OUT035,734.3241
FDI40,OUT027,1867.0087
FDT50,OUT019,255.9054
NCT06,OUT046,3322.741
FDT31,OUT035,4296.057
FDT45,OUT049,847.0484
FDT13,OUT045,2903.444
FDO50,OUT045,1314.5424
NCU18,OUT010,1690.0726
NCR54,OUT049,2884.5237
NCO18,OUT018,456.1782
FDU09,OUT045,894.5151
FDT13,OUT018,1649.7045
FDE09,OUT046,1630.065
NCK53,OUT019,511.14716
FDG45,OUT049,3392.6782
DRH15,OUT035,769.60504
FDO21,OUT019,694.6299
FDD14,OUT027,2629.4678
FDC09,OUT046,637.1567
FDH45,OUT027,698.20154
FDV32,OUT046,1003.32306
FDG12,OUT035,1941.7206
FDS32,OUT013,1934.0823
NCL55,OUT018,2270.9644
DRE01,OUT035,3904.135
DRE15,OUT049,1271.2084
NCL42,OUT045,3518.0454
FDP31,OUT013,947.6709
FDN33,OUT018,1390.8713
FDZ59,OUT046,2455.9182
FDE45,OUT010,1618.0255
FDJ07,OUT013,2429.6116
FDQ45,OUT018,3442.814
FDM33,OUT027,3032.6719
FDO15,OUT010,691.9163
FDM46,OUT013,1378.9034
FDR03,OUT045,3062.7988
FDY49,OUT018,1598.6765
FDQ60,OUT045,1750.2899
FDW10,OUT049,2590.9485
FDO51,OUT049,629.79596
FDJ40,OUT018,917.18915
FDS20,OUT018,2413.5354
FDU45,OUT013,1778.069
FDV02,OUT035,3451.5427
FDN09,OUT046,3739.9917
NCM55,OUT027,2675.2095
FDN23,OUT018,2282.9937
FDY31,OUT010,1712.1271
FDW03,OUT010,938.2154
FDD14,OUT046,2957.3677
FDV23,OUT017,1873.4232
DRI03,OUT045,2680.0398
FDN13,OUT035,1482.4012
FDF45,OUT027,1551.0599
FDU46,OUT035,1230.6719
FDB57,OUT049,4849.3506
FDV12,OUT049,1370.9003
FDQ58,OUT013,2296.747
NCA18,OUT017,1881.6359
FDH52,OUT049,904.5765
FDM24,OUT018,1741.2936
NCP43,OUT027,2458.9707
NCO18,OUT019,909.67737
FDM32,OUT017,1322.223
NCL07,OUT017,578.19617
FDK03,OUT013,3975.3342
FDP59,OUT017,1547.3643
FDQ24,OUT049,3973.3816
FDQ16,OUT018,925.4366
FDU44,OUT013,3292.7666
FDH28,OUT010,320.3273
FDV28,OUT019,69.83674
FDM22,OUT045,825.249
FDR56,OUT046,3004.3696
FDV39,OUT049,1186.9707
FDU37,OUT019,299.0706
FDQ11,OUT010,2078.798
FDX02,OUT045,3488.4016
NCS42,OUT018,1159.3799
FDY57,OUT027,1768.4688
FDB21,OUT049,1529.3185
FDE28,OUT017,3683.5483
FDQ55,OUT017,2427.9373
FDA48,OUT049,3523.7363
FDZ19,OUT045,3752.9792
NCC43,OUT045,3364.73
NCV18,OUT046,1637.4441
NCA42,OUT018,2691.0515
FDY45,OUT046,5245.2593
NCC30,OUT045,2780.807
FDM57,OUT013,447.07416
FDL09,OUT010,1607.8732
FDB09,OUT027,2194.3157
FDT44,OUT035,1762.0461
NCT06,OUT027,3837.772
FDX26,OUT049,3015.285
FDK32,OUT013,2360.3704
DRA12,OUT046,1986.0334
FDO46,OUT010,1638.1693
FDE52,OUT013,448.68607
NCH42,OUT045,3382.0254
FDV08,OUT035,760.0159
FDB47,OUT018,2758.1929
FDC28,OUT010,1313.8323
FDD22,OUT046,1869.8602
FDS07,OUT027,2131.7434
DRI13,OUT045,4604.5796
FDG32,OUT018,790.9723
FDU14,OUT017,4064.015
FDD28,OUT019,304.05017
NCP41,OUT017,1562.4198
FDS08,OUT049,2681.6987
FDX47,OUT045,2459.723
FDC53,OUT019,323.25082
FDQ19,OUT035,3631.3694
FDL14,OUT045,3049.6675
FDM33,OUT019,465.6455
FDA51,OUT045,1739.3782
FDZ27,OUT018,106.18563
FDT04,OUT046,227.28226
DRC13,OUT049,1837.5548
FDR16,OUT027,2961.4827
FDQ03,OUT027,3259.5876
FDE38,OUT035,2743.1345
DRH23,OUT027,1412.9712
FDT11,OUT019,1011.6168
FDD09,OUT035,2865.9512
FDR40,OUT045,1194.195
FDX07,OUT017,1271.8191
FDR07,OUT035,423.50098
FDA51,OUT017,1772.1233
FDT59,OUT019,1054.5527
FDF20,OUT017,2921.159
FDR13,OUT045,1891.1605
FDY26,OUT049,4645.5728
FDW04,OUT017,1865.2866
FDK52,OUT017,3621.0632
FDN60,OUT049,937.27264
FDM09,OUT019,811.67236
FDP46,OUT049,1688.8324
FDB50,OUT019,209.6088
NCQ29,OUT049,3904.5464
FDP16,OUT027,5866.5938
FDX33,OUT018,1459.6194
FDP07,OUT010,539.6151
FDN22,OUT046,3782.4766
FDF39,OUT049,3996.3938
FDS21,OUT017,984.059
NCM42,OUT013,1500.601
FDK50,OUT019,414.6587
DRF13,OUT027,2280.5833
FDH35,OUT018,1905.1277
FDP60,OUT018,1251.1342
DRJ49,OUT027,3035.682
NCT42,OUT019,335.77264
FDE38,OUT049,2681.7437
FDI04,OUT049,2879.977
NCH54,OUT045,2667.5623
FDT56,OUT049,286.65063
DRD15,OUT018,2073.5623
FDV58,OUT013,3883.3845
FDP21,OUT049,2983.0479
FDH05,OUT013,3558.0015
FDR10,OUT027,2147.207
NCP06,OUT045,2217.492
FDF33,OUT049,1540.1923
DRK37,OUT013,2869.8132
DRH49,OUT045,1289.0071
FDT58,OUT013,2695.2302
FDD41,OUT018,912.16095
FDP40,OUT018,1385.4941
FDM51,OUT027,2614.0828
FDO45,OUT010,993.1971
FDW33,OUT010,893.89703
FDY24,OUT045,924.2342
FDB10,OUT010,2031.1714
FDM40,OUT035,1898.2092
NCI06,OUT017,2856.96
FDW12,OUT019,649.3167
FDX48,OUT027,2397.2366
NCW05,OUT027,1794.954
FDX27,OUT017,1284.3519
DRM37,OUT045,2867.8328
FDA38,OUT045,3442.7463
FDR36,OUT046,636.0111
FDZ45,OUT046,4396.277
FDG05,OUT017,2437.9485
FDK28,OUT013,3801.561
FDV47,OUT045,1325.9751
FDN21,OUT045,2503.5645
FDP20,OUT027,2323.6753
FDI35,OUT045,2904.3228
DRY23,OUT013,603.5463
FDA56,OUT017,2006.7488
FDB09,OUT013,1948.7802
NCO26,OUT027,2881.5244
FDQ49,OUT018,1257.4143
FDI52,OUT027,2174.4385
FDZ44,OUT027,2228.2834
FDZ09,OUT018,2068.963
FDY03,OUT049,1769.0264
NCG42,OUT017,1891.4462
DRI13,OUT027,3059.177
FDQ32,OUT013,1931.508
FDW16,OUT035,1394.425
FDU27,OUT046,742.332
FDR28,OUT010,1469.1292
FDQ49,OUT010,2677.0537
FDS37,OUT046,1803.8878
FDW26,OUT018,1928.2766
FDX12,OUT018,2143.1394
NCP06,OUT013,2291.0518
FDW45,OUT010,1732.9908
NCN30,OUT049,1480.138
FDN24,OUT049,829.0002
NCL41,OUT027,849.7131
FDR02,OUT019,334.52036
FDD09,OUT010,1705.7843
FDS33,OUT010,807.7148
FDU22,OUT045,1939.4194
FDI53,OUT013,2675.0596
DRH01,OUT049,2543.3623
FDX32,OUT013,1998.193
NCP30,OUT018,378.97684
FDB60,OUT045,2767.3923
FDB14,OUT049,1885.6788
NCP02,OUT035,859.1993
FDJ10,OUT017,2585.0183
FDG34,OUT046,1559.1007
NCB18,OUT017,1351.6641
FDM16,OUT049,1273.4651
FDW25,OUT018,805.0024
FDB35,OUT010,1391.6581
DRN11,OUT013,822.9559
FDF41,OUT019,350.41922
FDH16,OUT045,1221.9119
NCQ50,OUT018,1795.6096
DRH23,OUT018,679.3552
DRJ37,OUT013,2469.1025
DRJ24,OUT027,2646.168
FDY16,OUT035,2973.1685
FDQ27,OUT045,1719.255
FDZ33,OUT045,2267.169
FDF29,OUT045,2016.4602
FDA08,OUT049,2417.858
FDG31,OUT046,1035.7594
FDE34,OUT019,389.19717
NCR30,OUT027,1398.3895
FDV33,OUT035,1665.74
DRZ24,OUT018,1066.2582
NCL54,OUT035,2873.5833
FDR12,OUT049,2721.4194
NCC54,OUT046,3489.7964
DRN59,OUT013,749.60016
FDX50,OUT019,544.2737
FDV31,OUT027,2456.7378
NCA29,OUT027,2384.4595
FDW60,OUT049,2797.7024
FDX08,OUT017,4532.7417
DRD49,OUT013,3877.446
FDD33,OUT046,3560.4133
FDW35,OUT013,628.89014
FDJ36,OUT017,1482.9688
FDV51,OUT035,2480.0544
FDW36,OUT046,1479.9744
FDH35,OUT046,2425.6516
NCS30,OUT027,3106.316
FDN49,OUT017,544.7834
FDL08,OUT018,2900.0867
FDI09,OUT013,3585.0332
FDP19,OUT018,1581.8433
FDU21,OUT010,366.8467
NCP41,OUT045,1481.5697
FDY10,OUT013,1791.3977
FDP12,OUT018,353.1645
NCN26,OUT049,1946.2007
FDK44,OUT013,2740.3232
FDC28,OUT049,632.9843
FDJ41,OUT027,3800.2644
NCT29,OUT035,1957.0084
NCH42,OUT019,678.27167
FDU60,OUT018,1508.654
FDS02,OUT045,4450.0713
FDC51,OUT046,1877.9663
FDU03,OUT013,1199.4484
FDX39,OUT045,3267.451
NCY05,OUT010,348.48737
NCL06,OUT027,3404.9297
FDD32,OUT035,1211.6807
NCN41,OUT045,2509.353
NCX53,OUT049,1938.9113
FDU57,OUT019,309.0101
FDQ23,OUT046,2109.295
FDQ52,OUT045,3583.4883
FDC14,OUT045,604.9527
FDY09,OUT035,3814.6719
FDQ28,OUT045,2346.1123
FDV25,OUT046,4762.5625
FDJ07,OUT035,1910.3988
DRB25,OUT049,1606
FDK52,OUT019,1100.3807
FDY52,OUT027,1161.8165
FDB28,OUT046,2867.5
FDT36,OUT035,221.7676
FDV25,OUT017,3355.5344
NCN07,OUT027,2273.51
FDC57,OUT017,2857.5933
FDQ03,OUT018,1962.514
FDU23,OUT017,2639.0579
NCX41,OUT035,1421.6885
NCD06,OUT035,749.22797
FDW08,OUT045,1479.4565
NCU29,OUT017,3067.6448
NCE06,OUT013,2699.4714
FDV52,OUT010,1110.3245
FDB02,OUT017,2694.762
NCR18,OUT045,584.1823
FDK16,OUT049,1459.0831
NCQ29,OUT010,3868.3218
FDZ01,OUT019,251.00499
FDW27,OUT035,3315.7454
FDD17,OUT018,2789.0164
FDW39,OUT013,3780.7805
DRH59,OUT045,1263.6871
FDS52,OUT013,1525.1615
FDU40,OUT027,2746.9395
NCF54,OUT013,2719.8113
FDH46,OUT045,1533.0708
NCP14,OUT049,1479.6327
FDH50,OUT049,2947.7485
DRF15,OUT010,1261.054
FDV27,OUT027,1660.5403
NCJ06,OUT049,1989.1971
FDN02,OUT018,2736.9873
FDQ51,OUT049,727.10034
FDQ07,OUT017,3597.0505
FDS45,OUT049,2166.1033
NCJ06,OUT045,1982.4357
FDD36,OUT035,1923.574
FDY25,OUT045,4509.134
FDU52,OUT046,2287.6013
DRK47,OUT017,3627.029
NCL30,OUT017,1915.923
FDN22,OUT035,1555.0841
NCF30,OUT027,2210.8955
FDK03,OUT035,4127.6396
FDT45,OUT017,821.8217
NCC54,OUT027,3330.809
FDP08,OUT018,2431.855
FDU44,OUT046,3293.957
DRG39,OUT035,828.02966
FDU32,OUT049,1985.0997
FDY27,OUT049,2715.0105
NCP54,OUT013,1920.9329
NCZ41,OUT049,1875.2751
DRL49,OUT013,2999.9507
FDI05,OUT018,194.1539
FDY56,OUT045,3584.6714
DRC13,OUT013,1837.5548
NCV29,OUT017,2883.1997
FDR24,OUT049,1363.8232
FDZ34,OUT018,1613.8392
FDP37,OUT035,1884.9792
FDX08,OUT027,2565.3306
FDS57,OUT045,1890.325
NCG18,OUT049,1571.1945
FDK25,OUT018,1551.3767
FDH53,OUT049,1493.0869
DRI59,OUT018,3782.9788
FDA52,OUT046,2746.0908
FDT20,OUT010,356.19638
FDE36,OUT019,407.45578
FDI24,OUT017,3735.145
FDB28,OUT018,2386.0576
FDV11,OUT017,2722.2383
FDP01,OUT046,2211.2678
FDD34,OUT027,2147.207
FDJ50,OUT027,1144.5662
FDZ44,OUT013,1801.8401
DRO59,OUT035,1145.3564
DRB48,OUT045,764.0422
FDR21,OUT018,1616.8453
NCE42,OUT010,1898.9188
FDO23,OUT046,1385.9546
NCE30,OUT018,644.40594
FDQ22,OUT035,551.64655
FDY01,OUT045,1737.3043
FDS08,OUT017,2703.064
FDG28,OUT018,2069.4927
FDQ51,OUT018,492.99567
FDB05,OUT017,4944.9653
FDO56,OUT049,1798.4557
FDE02,OUT018,1394.5015
FDN45,OUT017,3309.0378
FDS09,OUT013,752.01166
NCA54,OUT018,2414.0945
FDP09,OUT010,2748.261
FDC53,OUT045,1355.9778
NCM55,OUT017,2890.1753
FDL09,OUT018,1514.6749
FDA11,OUT019,254.81912
FDA50,OUT045,1323.5065
FDC23,OUT017,3962.023
FDE22,OUT049,2696.7139
FDD23,OUT046,2876.2935
NCA29,OUT049,2712.9182
FDK38,OUT046,3058.2463
DRC13,OUT046,1975.9475
NCP43,OUT049,3960.4768
FDX28,OUT049,1374.6859
FDF08,OUT049,1407.166
FDZ33,OUT046,2336.493
FDD10,OUT049,2792.9158
FDO58,OUT017,2462.7979
FDI50,OUT017,5003.712
FDO58,OUT045,2460.6995
FDX08,OUT013,2832.7012
NCK17,OUT010,347.5917
FDF39,OUT035,4175.127
FDU45,OUT010,948.1958
NCJ18,OUT018,1514.8962
DRC27,OUT019,474.16846
DRC25,OUT035,1417.316
FDU59,OUT035,2667.5925
FDU28,OUT035,4396.581
NCP30,OUT046,221.54407
FDB39,OUT018,532.2161
FDE41,OUT013,1680.1052
DRH11,OUT010,573.371
FDA58,OUT045,4825.478
FDU50,OUT046,2373.371
FDM34,OUT013,1873.9667
FDM44,OUT027,2006.5098
FDR39,OUT045,1209.9746
FDM25,OUT045,3698.013
FDQ49,OUT049,2234.2925
DRH25,OUT018,597.30255
FDM09,OUT027,2310.077
FDL44,OUT019,347.5702
NCR42,OUT018,303.10016
DRL59,OUT046,877.8585
FDX43,OUT013,3445.714
DRK47,OUT010,2912.668
FDU48,OUT018,1094.9502
FDY12,OUT045,846.7384
NCN43,OUT018,1578.3589
NCM55,OUT018,3459.5833
FDQ21,OUT027,2088.7622
FDX13,OUT035,1642.725
NCK30,OUT027,3336.426
FDG20,OUT049,3772.5217
DRG27,OUT017,763.60754
FDY14,OUT018,2144.5364
FDP59,OUT035,1530.8206
FDU60,OUT017,3463.4973
NCC18,OUT019,362.6444
DRJ39,OUT017,3350.2473
FDS07,OUT049,1870.4949
FDM08,OUT027,1695.4907
FDP51,OUT045,1835.8789
FDU16,OUT035,1198.7969
FDH12,OUT013,1519.8505
DRE48,OUT010,2416.2422
NCL42,OUT027,3401.8333
FDR21,OUT045,3867.9707
NCW29,OUT035,2044.2894
FDO11,OUT013,3852.7378
NCM31,OUT049,1885.6047
FDV35,OUT019,394.8795
FDF58,OUT017,973.71027
NCE43,OUT049,2597.9543
FDA02,OUT035,2512.4265
DRL37,OUT010,351.1744
FDR24,OUT018,1387.6155
FDW59,OUT049,1301.5034
FDS22,OUT049,631.3898
FDW24,OUT017,726.99023
FDU24,OUT035,1467.9092
FDA21,OUT027,2728.233
FDH58,OUT027,1134.2999
FDW36,OUT018,309.2277
FDI45,OUT027,4473.4077
FDU01,OUT018,1679.3552
